director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags,movie_title_lower
David R. Ellis,Lin Shaye,Kenan Thompson,Rachel Blanchard,Action Adventure Crime Drama Thriller,Snakes On A Plane,Action Adventure Crime Drama Thriller snakes on a plane Lin Shaye Kenan Thompson Rachel Blanchard David R. Ellis,snakes on a plane
Rachel Talalay,Naomi Watts,Lori Petty,Jeff Kober,Action Comedy Sci-Fi,Tank Girl,Action Comedy Sci-Fi tank girl Naomi Watts Lori Petty Jeff Kober Rachel Talalay,tank girl
Jeffrey W. Byrd,Donald Faison,Loretta Devine,Regina Hall,Comedy Crime,King's Ransom,Comedy Crime king's ransom Donald Faison Loretta Devine Regina Hall Jeffrey W. Byrd,king's ransom
Fernando Meirelles,Don McKellar,Joe Pingue,Yûsuke Iseya,Drama Mystery Sci-Fi Thriller,Blindness,Drama Mystery Sci-Fi Thriller blindness Don McKellar Joe Pingue Yûsuke Iseya Fernando Meirelles,blindness
Uwe Boll,Meat Loaf,Udo Kier,Michael Paré,Action Adventure Fantasy Horror,Bloodrayne,Action Adventure Fantasy Horror bloodrayne Meat Loaf Udo Kier Michael Paré Uwe Boll,bloodrayne
Roman Polanski,Kate Winslet,Christoph Waltz,Julie Adams,Comedy Drama,Carnage,Comedy Drama carnage Kate Winslet Christoph Waltz Julie Adams Roman Polanski,carnage
Atom Egoyan,Colin Firth,Alison Lohman,Rachel Blanchard,Crime Drama Mystery Thriller,Where The Truth Lies,Crime Drama Mystery Thriller where the truth lies Colin Firth Alison Lohman Rachel Blanchard Atom Egoyan,where the truth lies
Andrew Adamson,Dallas Barnett,Erica Linz,Igor Zaripov,Fantasy,Cirque Du Soleil: Worlds Away,Fantasy cirque du soleil: worlds away Dallas Barnett Erica Linz Igor Zaripov Andrew Adamson,cirque du soleil: worlds away
Robert Towne,Billy Burke,Monica Potter,Billy Crudup,Biography Drama Sport,Without Limits,Biography Drama Sport without limits Billy Burke Monica Potter Billy Crudup Robert Towne,without limits
Richard Linklater,Zoe Kazan,Aidan McArdle,James Tupper,Drama,Me And Orson Welles,Drama me and orson welles Zoe Kazan Aidan McArdle James Tupper Richard Linklater,me and orson welles
Giuseppe Tornatore,Jim Sturgess,Sean Buchanan,Liya Kebede,Crime Drama Mystery Romance,The Best Offer,Crime Drama Mystery Romance the best offer Jim Sturgess Sean Buchanan Liya Kebede Giuseppe Tornatore,the best offer
Werner Herzog,Nicolas Cage,Shea Whigham,Shawn Hatosy,Crime Drama,Bad Lieutenant: Port Of Call New Orleans,Crime Drama bad lieutenant: port of call new orleans Nicolas Cage Shea Whigham Shawn Hatosy Werner Herzog,bad lieutenant: port of call new orleans
Ben Stassen,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,Adventure Animation Family,A Turtle's Tale: Sammy's Adventures,Adventure Animation Family a turtle's tale: sammy's adventures Ed Begley Jr. Jenny McCarthy Stacy Keach Ben Stassen,a turtle's tale: sammy's adventures
Guillaume Canet,François Cluzet,Benoît Magimel,Gilles Lellouche,Comedy Drama,Little White Lies,Comedy Drama little white lies François Cluzet Benoît Magimel Gilles Lellouche Guillaume Canet,little white lies
Taylor Hackford,Scout Taylor-Compton,Bai Ling,Gil Birmingham,Comedy Drama Romance Sport,Love Ranch,Comedy Drama Romance Sport love ranch Scout Taylor-Compton Bai Ling Gil Birmingham Taylor Hackford,love ranch
Jérôme Deschamps,Yolande Moreau,André Wilms,Jérôme Deschamps,Adventure Animation Comedy,The True Story Of Puss'N Boots,Adventure Animation Comedy the true story of puss'n boots Yolande Moreau André Wilms Jérôme Deschamps Jérôme Deschamps,the true story of puss'n boots
Inna Evlannikova,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,Adventure Animation Comedy Family,Space Dogs,Adventure Animation Comedy Family space dogs Sergey Garmash Evgeniy Mironov Aleksandr Bashirov Inna Evlannikova,space dogs
Ridley Scott,Michael Fassbender,Brad Pitt,Goran Visnjic,Crime Drama Thriller,The Counselor,Crime Drama Thriller the counselor Michael Fassbender Brad Pitt Goran Visnjic Ridley Scott,the counselor
Jonathan English,Jason Flemyng,Mackenzie Crook,Derek Jacobi,Action Adventure History Romance,Ironclad,Action Adventure History Romance ironclad Jason Flemyng Mackenzie Crook Derek Jacobi Jonathan English,ironclad
Sergey Bondarchuk,Rod Steiger,Dan O'Herlihy,Jack Hawkins,Action Drama History War,Waterloo,Action Drama History War waterloo Rod Steiger Dan O'Herlihy Jack Hawkins Sergey Bondarchuk,waterloo
Teddy Chan,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau,Action Drama,Kung Fu Killer,Action Drama kung fu killer Siu-Wong Fan Charlie Yeung Wai-Keung Lau Teddy Chan,kung fu killer
Mario Van Peebles,Martin Kove,Mario Van Peebles,Jacob Vargas,Action Thriller,Red Sky,Action Thriller red sky Martin Kove Mario Van Peebles Jacob Vargas Mario Van Peebles,red sky
Walter Salles,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,Adventure Drama,On The Road,Adventure Drama on the road Kristen Stewart Viggo Mortensen Kirsten Dunst Walter Salles,on the road
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Comedy Sci-Fi,Star Trek Iv: The Voyage Home,Adventure Comedy Sci-Fi star trek iv: the voyage home Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy,star trek iv: the voyage home
Sylvester Stallone,Sylvester Stallone,Burt Young,Mike Tyson,Drama Sport,Rocky Balboa,Drama Sport rocky balboa Sylvester Stallone Burt Young Mike Tyson Sylvester Stallone,rocky balboa
Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,Action Crime Sport Thriller,Point Break,Action Crime Sport Thriller point break Ray Winstone Edgar Ramírez Delroy Lindo Ericson Core,point break
Wes Craven,Omar Epps,Jada Pinkett Smith,Kevin Williamson,Horror Mystery,Scream 2,Horror Mystery scream 2 Omar Epps Jada Pinkett Smith Kevin Williamson Wes Craven,scream 2
Gavin O'Connor,Natalie Portman,Noah Emmerich,Boyd Holbrook,Action Drama Western,Jane Got A Gun,Action Drama Western jane got a gun Natalie Portman Noah Emmerich Boyd Holbrook Gavin O'Connor,jane got a gun
Tim Story,Romany Malco,Regina Hall,David Walton,Comedy Romance,Think Like A Man Too,Comedy Romance think like a man too Romany Malco Regina Hall David Walton Tim Story,think like a man too
Jonathan Lynn,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy Crime,The Whole Nine Yards,Comedy Crime the whole nine yards Bruce Willis Matthew Perry Natasha Henstridge Jonathan Lynn,the whole nine yards
Todd Phillips,Will Ferrell,Leah Remini,Patrick Fischler,Comedy,Old School,Comedy old school Will Ferrell Leah Remini Patrick Fischler Todd Phillips,old school
Terry Gilliam,Jeff Bridges,David Hyde Pierce,Harry Shearer,Comedy Drama Fantasy,The Fisher King,Comedy Drama Fantasy the fisher king Jeff Bridges David Hyde Pierce Harry Shearer Terry Gilliam,the fisher king
Danny Cannon,Muse Watson,Mekhi Phifer,Bill Cobbs,Horror Mystery,I Still Know What You Did Last Summer,Horror Mystery i still know what you did last summer Muse Watson Mekhi Phifer Bill Cobbs Danny Cannon,i still know what you did last summer
Bonnie Hunt,Minnie Driver,Jim Belushi,Bonnie Hunt,Comedy Drama Romance,Return To Me,Comedy Drama Romance return to me Minnie Driver Jim Belushi Bonnie Hunt Bonnie Hunt,return to me
Kevin Smith,Gerry Bednob,Jeff Anderson,Jennifer Schwalbach Smith,Comedy Romance,Zack And Miri Make A Porno,Comedy Romance zack and miri make a porno Gerry Bednob Jeff Anderson Jennifer Schwalbach Smith Kevin Smith,zack and miri make a porno
Neil LaBute,Morgan Freeman,Pruitt Taylor Vince,Kathleen Wilhoite,Comedy Crime Drama,Nurse Betty,Comedy Crime Drama nurse betty Morgan Freeman Pruitt Taylor Vince Kathleen Wilhoite Neil LaBute,nurse betty
Grant Heslov,Kevin Spacey,Jeff Bridges,Stephen Root,Comedy War,The Men Who Stare At Goats,Comedy War the men who stare at goats Kevin Spacey Jeff Bridges Stephen Root Grant Heslov,the men who stare at goats
George Gallo,Daniel Roebuck,Eddie Griffin,Garcelle Beauvais,Action Comedy Crime Thriller,Double Take,Action Comedy Crime Thriller double take Daniel Roebuck Eddie Griffin Garcelle Beauvais George Gallo,double take
James Mangold,Angelina Jolie Pitt,Clea DuVall,Vanessa Redgrave,Biography Drama,"Girl, Interrupted","Biography Drama girl, interrupted Angelina Jolie Pitt Clea DuVall Vanessa Redgrave James Mangold","girl, interrupted"
Robert Luketic,Topher Grace,Gary Cole,Nathan Lane,Comedy Romance,Win A Date With Tad Hamilton!,Comedy Romance win a date with tad hamilton! Topher Grace Gary Cole Nathan Lane Robert Luketic,win a date with tad hamilton!
Tim Hill,Josh Charles,F. Murray Abraham,David Arquette,Adventure Comedy Family Fantasy Music Sci-Fi,Muppets From Space,Adventure Comedy Family Fantasy Music Sci-Fi muppets from space Josh Charles F. Murray Abraham David Arquette Tim Hill,muppets from space
Sidney Lumet,Lena Horne,Diana Ross,Theresa Merritt,Adventure Family Fantasy Music Musical,The Wiz,Adventure Family Fantasy Music Musical the wiz Lena Horne Diana Ross Theresa Merritt Sidney Lumet,the wiz
Brian Robbins,Oliver Platt,Ellen Albertini Dow,Martin Landau,Comedy Sport,Ready To Rumble,Comedy Sport ready to rumble Oliver Platt Ellen Albertini Dow Martin Landau Brian Robbins,ready to rumble
Ron Shelton,Willie Garson,Robert Wagner,Lolita Davidovich,Comedy Drama Sport,Play It To The Bone,Comedy Drama Sport play it to the bone Willie Garson Robert Wagner Lolita Davidovich Ron Shelton,play it to the bone
Douglas McGrath,Olivia Munn,Busy Philipps,Jessica Szohr,Comedy Romance,I Don'T Know How She Does It,Comedy Romance i don't know how she does it Olivia Munn Busy Philipps Jessica Szohr Douglas McGrath,i don't know how she does it
Alexandre Aja,Adam Scott,Kelly Brook,Jessica Szohr,Comedy Horror,Piranha 3D,Comedy Horror piranha 3d Adam Scott Kelly Brook Jessica Szohr Alexandre Aja,piranha 3d
Kevin Spacey,Kevin Spacey,Bob Hoskins,Brenda Blethyn,Biography Drama Music Musical,Beyond The Sea,Biography Drama Music Musical beyond the sea Kevin Spacey Bob Hoskins Brenda Blethyn Kevin Spacey,beyond the sea
Steve Boyum,Paul Walker,M.C. Gainey,A.J. Langer,Comedy Family,Meet The Deedles,Comedy Family meet the deedles Paul Walker M.C. Gainey A.J. Langer Steve Boyum,meet the deedles
Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,Action Adventure Animation Comedy Fantasy,The Princess And The Cobbler,Action Adventure Animation Comedy Fantasy the princess and the cobbler Donald Pleasence Kenneth Williams Clive Revill Richard Williams,the princess and the cobbler
Mary McGuckian,Robert De Niro,F. Murray Abraham,Geraldine Chaplin,Drama Romance,The Bridge Of San Luis Rey,Drama Romance the bridge of san luis rey Robert De Niro F. Murray Abraham Geraldine Chaplin Mary McGuckian,the bridge of san luis rey
George Tillman Jr.,Dwayne Johnson,Tom Berenger,Mike Epps,Action Crime Drama Thriller,Faster,Action Crime Drama Thriller faster Dwayne Johnson Tom Berenger Mike Epps George Tillman Jr.,faster
Hayao Miyazaki,Christian Bale,Blythe Danner,Jean Simmons,Adventure Animation Family Fantasy,Howl's Moving Castle,Adventure Animation Family Fantasy howl's moving castle Christian Bale Blythe Danner Jean Simmons Hayao Miyazaki,howl's moving castle
Ruben Fleischer,Emma Stone,Bill Murray,Derek Graf,Adventure Comedy Horror Sci-Fi,Zombieland,Adventure Comedy Horror Sci-Fi zombieland Emma Stone Bill Murray Derek Graf Ruben Fleischer,zombieland
Frank Coraci,Adam Sandler,Clint Howard,Peter Dante,Comedy Sport,The Waterboy,Comedy Sport the waterboy Adam Sandler Clint Howard Peter Dante Frank Coraci,the waterboy
Irvin Kershner,Harrison Ford,Kenny Baker,Anthony Daniels,Action Adventure Fantasy Sci-Fi,Star Wars: Episode V - The Empire Strikes Back,Action Adventure Fantasy Sci-Fi star wars: episode v - the empire strikes back Harrison Ford Kenny Baker Anthony Daniels Irvin Kershner,star wars: episode v - the empire strikes back
Michael Bay,Will Smith,Tchéky Karyo,Theresa Randle,Action Comedy Crime Drama Thriller,Bad Boys,Action Comedy Crime Drama Thriller bad boys Will Smith Tchéky Karyo Theresa Randle Michael Bay,bad boys
David Zucker,George Kennedy,Priscilla Presley,O.J. Simpson,Comedy Crime,The Naked Gun 2½: The Smell Of Fear,Comedy Crime the naked gun 2½: the smell of fear George Kennedy Priscilla Presley O.J. Simpson David Zucker,the naked gun 2½: the smell of fear
James Wong,Daniel Roebuck,Brendan Fehr,Kerr Smith,Horror Thriller,Final Destination,Horror Thriller final destination Daniel Roebuck Brendan Fehr Kerr Smith James Wong,final destination
George Clooney,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle,Drama,The Ides Of March,Drama the ides of march Ryan Gosling Philip Seymour Hoffman Jennifer Ehle George Clooney,the ides of march
David Twohy,Vin Diesel,Radha Mitchell,Cole Hauser,Horror Sci-Fi,Pitch Black,Horror Sci-Fi pitch black Vin Diesel Radha Mitchell Cole Hauser David Twohy,pitch black
Tony Goldwyn,Hugh Jackman,Ellen Barkin,Catherine Dent,Comedy Romance,Someone Like You...,Comedy Romance someone like you... Hugh Jackman Ellen Barkin Catherine Dent Tony Goldwyn,someone like you...
Spike Jonze,Scarlett Johansson,Brian Johnson,Matt Letscher,Drama Romance Sci-Fi,Her,Drama Romance Sci-Fi her Scarlett Johansson Brian Johnson Matt Letscher Spike Jonze,her
Dexter Fletcher,Hugh Jackman,Taron Egerton,Tim McInnerny,Biography Comedy Drama Sport,Eddie The Eagle,Biography Comedy Drama Sport eddie the eagle Hugh Jackman Taron Egerton Tim McInnerny Dexter Fletcher,eddie the eagle
John Dahl,Paul Walker,Jessica Bowman,Dell Yount,Mystery Thriller,Joy Ride,Mystery Thriller joy ride Paul Walker Jessica Bowman Dell Yount John Dahl,joy ride
Jonathan Newman,Ioan Gruffudd,Keeley Hawes,Oliver Stark,Adventure Family Fantasy,The Adventurer: The Curse Of The Midas Box,Adventure Family Fantasy the adventurer: the curse of the midas box Ioan Gruffudd Keeley Hawes Oliver Stark Jonathan Newman,the adventurer: the curse of the midas box
Wayne Wang,Natalie Portman,Eva Amurri Martino,Shawn Hatosy,Comedy Drama,Anywhere But Here,Comedy Drama anywhere but here Natalie Portman Eva Amurri Martino Shawn Hatosy Wayne Wang,anywhere but here
Andy Cadiff,Annabella Sciorra,Stark Sands,Terence Maynard,Comedy Romance,Chasing Liberty,Comedy Romance chasing liberty Annabella Sciorra Stark Sands Terence Maynard Andy Cadiff,chasing liberty
Michael Dinner,Seymour Cassel,Dan Hedaya,Lainie Kazan,Comedy Crime,The Crew,Comedy Crime the crew Seymour Cassel Dan Hedaya Lainie Kazan Michael Dinner,the crew
Steven Soderbergh,Channing Tatum,Michael Fassbender,Michael Angarano,Action Thriller,Haywire,Action Thriller haywire Channing Tatum Michael Fassbender Michael Angarano Steven Soderbergh,haywire
Joseph Sargent,Judith Barsi,Mario Van Peebles,Lynn Whitfield,Adventure Horror Thriller,Jaws: The Revenge,Adventure Horror Thriller jaws: the revenge Judith Barsi Mario Van Peebles Lynn Whitfield Joseph Sargent,jaws: the revenge
Jerry Zaks,Leonardo DiCaprio,Robert De Niro,Meryl Streep,Drama,Marvin's Room,Drama marvin's room Leonardo DiCaprio Robert De Niro Meryl Streep Jerry Zaks,marvin's room
Fred Durst,Tasha Smith,Dash Mihok,Garrett Morris,Biography Comedy Drama Family Sport,The Longshots,Biography Comedy Drama Family Sport the longshots Tasha Smith Dash Mihok Garrett Morris Fred Durst,the longshots
Neil Jordan,Stephen Rea,Ian Hart,James Bolam,Drama Romance,The End Of The Affair,Drama Romance the end of the affair Stephen Rea Ian Hart James Bolam Neil Jordan,the end of the affair
Simon Wincer,Vanessa Williams,Tia Carrere,Don Johnson,Action Crime Drama Thriller Western,Harley Davidson And The Marlboro Man,Action Crime Drama Thriller Western harley davidson and the marlboro man Vanessa Williams Tia Carrere Don Johnson Simon Wincer,harley davidson and the marlboro man
Paul Haggis,James Franco,Charlize Theron,Barry Corbin,Crime Drama Mystery Thriller,In The Valley Of Elah,Crime Drama Mystery Thriller in the valley of elah James Franco Charlize Theron Barry Corbin Paul Haggis,in the valley of elah
Anne Fontaine,Alessandro Nivola,Benoît Poelvoorde,Marie Gillain,Biography Drama,Coco Before Chanel,Biography Drama coco before chanel Alessandro Nivola Benoît Poelvoorde Marie Gillain Anne Fontaine,coco before chanel
Stephen Frears,Tom Burke,Iben Hjejle,Gaye Brown,Comedy Drama Romance,Chéri,Comedy Drama Romance chéri Tom Burke Iben Hjejle Gaye Brown Stephen Frears,chéri
Mira Nair,Romola Garai,Roger Lloyd Pack,Lillete Dubey,Drama,Vanity Fair,Drama vanity fair Romola Garai Roger Lloyd Pack Lillete Dubey Mira Nair,vanity fair
Teddy Chan,Bingbing Fan,Simon Yam,Nicholas Tse,Action Drama History,Bodyguards And Assassins,Action Drama History bodyguards and assassins Bingbing Fan Simon Yam Nicholas Tse Teddy Chan,bodyguards and assassins
Mikael Håfström,Drew Powell,Kim Thomson,Alexandra Silber,Fantasy Horror,1408,Fantasy Horror 1408 Drew Powell Kim Thomson Alexandra Silber Mikael Håfström,1408
Mel Brooks,Joan Rivers,Dick Van Patten,Michael Winslow,Adventure Comedy Sci-Fi,Spaceballs,Adventure Comedy Sci-Fi spaceballs Joan Rivers Dick Van Patten Michael Winslow Mel Brooks,spaceballs
Russell Crowe,Cem Yilmaz,Ryan Corr,Steve Bastoni,Drama War,The Water Diviner,Drama War the water diviner Cem Yilmaz Ryan Corr Steve Bastoni Russell Crowe,the water diviner
Jerry Zucker,Demi Moore,Tony Goldwyn,Phil Leeds,Drama Fantasy Romance Thriller,Ghost,Drama Fantasy Romance Thriller ghost Demi Moore Tony Goldwyn Phil Leeds Jerry Zucker,ghost
Bobby Farrelly,Sarah Silverman,Lin Shaye,Richard Tyson,Comedy Romance,There's Something About Mary,Comedy Romance there's something about mary Sarah Silverman Lin Shaye Richard Tyson Bobby Farrelly,there's something about mary
John Pasquin,Judge Reinhold,Eric Lloyd,Peter Boyle,Comedy Drama Family Fantasy,The Santa Clause,Comedy Drama Family Fantasy the santa clause Judge Reinhold Eric Lloyd Peter Boyle John Pasquin,the santa clause
John Lee Hancock,Dennis Quaid,Jay Hernandez,Angus T. Jones,Drama Family Sport,The Rookie,Drama Family Sport the rookie Dennis Quaid Jay Hernandez Angus T. Jones John Lee Hancock,the rookie
Andy Fickman,Dwayne Johnson,Kyra Sedgwick,Madison Pettis,Comedy Family Sport,The Game Plan,Comedy Family Sport the game plan Dwayne Johnson Kyra Sedgwick Madison Pettis Andy Fickman,the game plan
Clint Eastwood,Clint Eastwood,Meryl Streep,Debra Monk,Drama Romance,The Bridges Of Madison County,Drama Romance the bridges of madison county Clint Eastwood Meryl Streep Debra Monk Clint Eastwood,the bridges of madison county
Luke Greenfield,Louis Lombardi,Michael Papajohn,Colleen Haskell,Comedy Sci-Fi,The Animal,Comedy Sci-Fi the animal Louis Lombardi Michael Papajohn Colleen Haskell Luke Greenfield,the animal
Richard Attenborough,Candice Bergen,Amrish Puri,John Gielgud,Biography Drama History,Gandhi,Biography Drama History gandhi Candice Bergen Amrish Puri John Gielgud Richard Attenborough,gandhi
Lasse Hallström,Manish Dayal,Charlotte Le Bon,Juhi Chawla,Comedy Drama,The Hundred-Foot Journey,Comedy Drama the hundred-foot journey Manish Dayal Charlotte Le Bon Juhi Chawla Lasse Hallström,the hundred-foot journey
Irwin Winkler,Ken Howard,Jeremy Northam,Ray McKinnon,Action Crime Drama Mystery Thriller,The Net,Action Crime Drama Mystery Thriller the net Ken Howard Jeremy Northam Ray McKinnon Irwin Winkler,the net
Jessie Nelson,Dianne Wiest,Loretta Devine,Richard Schiff,Drama,I Am Sam,Drama i am sam Dianne Wiest Loretta Devine Richard Schiff Jessie Nelson,i am sam
Christopher Spencer,Roma Downey,Amber Rose Revah,Darwin Shaw,Biography Drama History,Son Of God,Biography Drama History son of god Roma Downey Amber Rose Revah Darwin Shaw Christopher Spencer,son of god
Len Wiseman,Sophia Myles,Kevin Grevioux,Shane Brolly,Action Fantasy Thriller,Underworld,Action Fantasy Thriller underworld Sophia Myles Kevin Grevioux Shane Brolly Len Wiseman,underworld
Mikael Håfström,Denis O'Hare,RZA,Xzibit,Drama Thriller,Derailed,Drama Thriller derailed Denis O'Hare RZA Xzibit Mikael Håfström,derailed
Steven Soderbergh,Matt Damon,Joel McHale,Thomas F. Wilson,Comedy Crime Drama Thriller,The Informant!,Comedy Crime Drama Thriller the informant! Matt Damon Joel McHale Thomas F. Wilson Steven Soderbergh,the informant!
Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,Biography Drama Romance,Shadowlands,Biography Drama Romance shadowlands Anthony Hopkins James Frain Julian Fellowes Richard Attenborough,shadowlands
Mike Bigelow,Carlos Ponce,Eddie Griffin,Charles Keating,Comedy,Deuce Bigalow: European Gigolo,Comedy deuce bigalow: european gigolo Carlos Ponce Eddie Griffin Charles Keating Mike Bigelow,deuce bigalow: european gigolo
Ken Scott,Jack Reynor,Bobby Moynihan,Matthew Daddario,Comedy Drama,Delivery Man,Comedy Drama delivery man Jack Reynor Bobby Moynihan Matthew Daddario Ken Scott,delivery man
Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Drama Horror Sci-Fi Thriller,Victor Frankenstein,Drama Horror Sci-Fi Thriller victor frankenstein Daniel Radcliffe Spencer Wilding Daniel Mays Paul McGuigan,victor frankenstein
Susanna White,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,Thriller,Our Kind Of Traitor,Thriller our kind of traitor Radivoje Bukvic Pawel Szajda Grigoriy Dobrygin Susanna White,our kind of traitor
Dennis Dugan,Amanda Detmer,Neil Diamond,Kyle Gass,Comedy Crime Romance,Saving Silverman,Comedy Crime Romance saving silverman Amanda Detmer Neil Diamond Kyle Gass Dennis Dugan,saving silverman
David Bowers,Zachary Gordon,Rachael Harris,Karan Brar,Comedy Family,Diary Of A Wimpy Kid: Dog Days,Comedy Family diary of a wimpy kid: dog days Zachary Gordon Rachael Harris Karan Brar David Bowers,diary of a wimpy kid: dog days
Spike Lee,Mira Sorvino,Jennifer Esposito,Mike Starr,Crime Drama Romance Thriller,Summer Of Sam,Crime Drama Romance Thriller summer of sam Mira Sorvino Jennifer Esposito Mike Starr Spike Lee,summer of sam
Kevin Smith,Will Ferrell,Shannon Elizabeth,Jason Mewes,Comedy,Jay And Silent Bob Strike Back,Comedy jay and silent bob strike back Will Ferrell Shannon Elizabeth Jason Mewes Kevin Smith,jay and silent bob strike back
Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,The Island,Action Adventure Romance Sci-Fi Thriller the island Scarlett Johansson Steve Buscemi Djimon Hounsou Michael Bay,the island
Daniel Sackheim,Chris Noth,Bruce Dern,Trevor Morgan,Crime Drama Mystery Thriller,The Glass House,Crime Drama Mystery Thriller the glass house Chris Noth Bruce Dern Trevor Morgan Daniel Sackheim,the glass house
Ethan Coen,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,Comedy Mystery,"Hail, Caesar!","Comedy Mystery hail, caesar! Scarlett Johansson Channing Tatum Alden Ehrenreich Ethan Coen","hail, caesar!"
Harry Elfont,Rosario Dawson,Paulo Costanzo,Aries Spears,Comedy Music,Josie And The Pussycats,Comedy Music josie and the pussycats Rosario Dawson Paulo Costanzo Aries Spears Harry Elfont,josie and the pussycats
Gary Fleder,Jason Statham,James Franco,Frank Grillo,Action Crime Drama Thriller,Homefront,Action Crime Drama Thriller homefront Jason Statham James Franco Frank Grillo Gary Fleder,homefront
Uli Edel,Richard E. Grant,Jim Carter,Alice Krige,Adventure Comedy Family Fantasy,The Little Vampire,Adventure Comedy Family Fantasy the little vampire Richard E. Grant Jim Carter Alice Krige Uli Edel,the little vampire
David O. Russell,Naomi Watts,Lily Tomlin,Isabelle Huppert,Comedy,I Heart Huckabees,Comedy i heart huckabees Naomi Watts Lily Tomlin Isabelle Huppert David O. Russell,i heart huckabees
Fred Dekker,CCH Pounder,Rip Torn,Mako,Action Crime Sci-Fi Thriller,Robocop 3,Action Crime Sci-Fi Thriller robocop 3 CCH Pounder Rip Torn Mako Fred Dekker,robocop 3
Brian Trenchard-Smith,Michael Biehn,Udo Kier,Franco Nero,Action Adventure Fantasy Sci-Fi Thriller,Megiddo: The Omega Code 2,Action Adventure Fantasy Sci-Fi Thriller megiddo: the omega code 2 Michael Biehn Udo Kier Franco Nero Brian Trenchard-Smith,megiddo: the omega code 2
Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,Comedy Drama Musical Romance War,Darling Lili,Comedy Drama Musical Romance War darling lili Rock Hudson Vernon Dobtcheff Jeremy Kemp Blake Edwards,darling lili
Hugh Wilson,Brendan Fraser,Alex Rocco,Eric Idle,Comedy Family Romance,Dudley Do-Right,Comedy Family Romance dudley do-right Brendan Fraser Alex Rocco Eric Idle Hugh Wilson,dudley do-right
Camille Delamarre,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,Action Crime Thriller,The Transporter Refueled,Action Crime Thriller the transporter refueled Ed Skrein Noémie Lenoir Radivoje Bukvic Camille Delamarre,the transporter refueled
Laurence Dunmore,Johnny Depp,Jack Davenport,Richard Coyle,Drama Romance,The Libertine,Drama Romance the libertine Johnny Depp Jack Davenport Richard Coyle Laurence Dunmore,the libertine
Paul Verhoeven,Michiel Huisman,Sebastian Koch,Christian Berkel,Drama Thriller War,Black Book,Drama Thriller War black book Michiel Huisman Sebastian Koch Christian Berkel Paul Verhoeven,black book
Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,Drama History Music Romance War,Joyeux Noel,Drama History Music Romance War joyeux noel Gary Lewis Dany Boon Ian Richardson Christian Carion,joyeux noel
David Palmer,Bradley Cooper,Tom Arnold,Beau Bridges,Action Comedy Romance,Hit And Run,Action Comedy Romance hit and run Bradley Cooper Tom Arnold Beau Bridges David Palmer,hit and run
Callie Khouri,Stephen Root,Ted Danson,Roger Cross,Comedy Crime Thriller,Mad Money,Comedy Crime Thriller mad money Stephen Root Ted Danson Roger Cross Callie Khouri,mad money
Rowan Joffe,Colin Firth,Ben Crompton,Anne-Marie Duff,Drama Mystery Thriller,Before I Go To Sleep,Drama Mystery Thriller before i go to sleep Colin Firth Ben Crompton Anne-Marie Duff Rowan Joffe,before i go to sleep
William Friedkin,Roy Scheider,Joe Spinell,Amidou,Adventure Drama Thriller,Sorcerer,Adventure Drama Thriller sorcerer Roy Scheider Joe Spinell Amidou William Friedkin,sorcerer
John Curran,Robert De Niro,Milla Jovovich,Frances Conroy,Drama Thriller,Stone,Drama Thriller stone Robert De Niro Milla Jovovich Frances Conroy John Curran,stone
Laurent Tirard,Romain Duris,Ludivine Sagnier,Fabrice Luchini,Comedy History,Molière,Comedy History molière Romain Duris Ludivine Sagnier Fabrice Luchini Laurent Tirard,molière
Scott Cooper,Christian Bale,Sam Shepard,Dendrie Taylor,Crime Drama Thriller,Out Of The Furnace,Crime Drama Thriller out of the furnace Christian Bale Sam Shepard Dendrie Taylor Scott Cooper,out of the furnace
Tony Gilroy,Tom Wilkinson,Denis O'Hare,Sydney Pollack,Crime Drama Mystery Thriller,Michael Clayton,Crime Drama Mystery Thriller michael clayton Tom Wilkinson Denis O'Hare Sydney Pollack Tony Gilroy,michael clayton
Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward,Adventure Comedy,My Fellow Americans,Adventure Comedy my fellow americans Wilford Brimley Bradley Whitford Sela Ward Peter Segal,my fellow americans
